index,author,date,genre,lhs,match,rhs,gerund,verb_type,func,det,generation,gender,age
774440,PW3,1673,prose,"th us to become Fools ; that is to ſay , We muſt not bring any thing of our own , for that were the ",ſhutting, of the Door againſt God . H. Bullenger's 4 . Decad . Serm . 5 . p. 665 . The Spirit of Man praying ,NG,lex,scomp,the,G3,M,29
147560,PW3,1674,prose," Which if I underſtand any thing , is to make God in theſe New Covenant Times , to indulge in man a ",ſlacking," of Obedience to his Righteous Law . At this rate Chriſt came not that we ſhould fulfil the Law , bu",NG,lex,object,a,G3,M,30
981856,PW3,1676,prose," him , and Chriſt Lord , and not by his holy Spirit , neither had taken up his daily Croſs , to the ",ſlaying," of our own Wills and carnal Affections , notwithſtanding the great Profeſſion that we in Words made",NG,lex,other_prep,the,G3,M,32
653061,PW3,1668,prose,"s , That they extol the Light in all men , as the only ſufficient Rule to walk by , to the apparent ",ſlighting," of Scriptures , and Preaching . Reader , If yet thou art a ſtranger to this Light he thus explodes ",NG,lex,other_prep,the,G3,M,24
773089,PW3,1673,prose,"ty , in that place I quoted , and unto which my Anſwer was made . Next , obſerve how he ſuggeſts my ",ſmothering," of thoſe Teſtimonies he brings , whereas I have particularly anſwered the latter , which includes t",NG,lex,object,poss,G3,M,29
197984,PW3,1675,prose,"y well believe , that the Unmerciful Sacrifices ſome Men now offer , I mean , Impriſoning Perſons , ",ſpoiling," of Goods , and leaving whole Families deſtitute of common Subſiſtence , are far from being grateful",NG,lex,other_prep,bare,G3,M,31
811528,PW3,1677,prose,"ly been poſſeſſed with an holy and weightly Concern for the Gloty of the Name of the Lord , and the ",ſpreading," of his everlaſting Truth , and the Proſperity of it through all Nations , that the very Ends of the",NG,lex,other_prep,the,G3,M,33
176266,PW3,1670,prose,"ere be ſufficient to prove , That Juries are Judges of Law and Fact . Firſt , In order to the clear ",ſtating," and full reſolving of the Queſtion , I ſhall explain briefly , and reſcue the latter part of this L",NG,lex,other_prep,the,G3,M,26
792022,PW3,1699,prose," or Cenſuring and Suppreſſing the Errors of the Quakers : And as this , ſays he , would tend to the ",ſtopping," of the Gangreen of Quakeriſm . So 'tis hoped , and earneſtly prayed , that the ſame may be taken in",NG,lex,other_prep,the,G3,M,55
176136,PW3,1670,prose,"ence ; and my aſſerting of the Supremacy of Fundamental Laws , againſt their new Inchr_achments , a ",ſubverting," of them . I Rejoyce to think , that many were there preſent , whoſe relation of that Tranſaction , ",NG,lex,scomp,a,G3,M,26
554455,PW3,1679,prose,"e thoſe things are a part of Religion , which are of abſolute neceſſity to Government ; ſuch as the ",ſuppreſſing," of Murther , Adultery , Theft , Perjury , which ſurely belongs to the Magiſtrates to puniſh . To th",NG,lex,other,the,G3,M,35
508251,PW3,1672,prose,"h you deny all poſſibility of Salvation , particularly in keeping your Meetings , not forſaking the ",aſſembling, of your ſelves together ; and refuſing to acquieſs in the obedience of thoſe Laws about Oaths and T,NG,lex,in,the,G3,M,28
539406,PW3,1670,prose,"mmanded by God to meet Four thouſand as Four ; we muſt deſire to be excuſed , if we forbear not the ",aſſembling," of our ſelves together , as the manner of ſome is . Object . 7 . But the reaſon of the prohibition ",NG,lex,object,the,G3,M,26
851903,PW3,1672,prose,"re . His baſe Inference of our Denial of Religious Societies , and Outward Gifts , from our Friends ",aſſerting," of but one Catholick Church , and that it is in God . A Goſpel-Church own'd . Our Adverſary proved ",NG,lex,other_prep,poss,G3,M,28
773101,PW3,1673,prose,"that God is confined to a Body , and that Body to a certain place ; elſe why ſhould he oppoſe to my ",aſſerting," of God's univerſal Preſence Chriſt's Manhood , the Fulneſs of the Godhead dwelling bodily in that M",NG,lex,other_prep,poss,G3,M,29
176135,PW3,1670,prose,"hard Caſe that men ſhould ſo Nickname things , as to call an honest Confidence , Impudence ; and my ",aſſerting," of the Supremacy of Fundamental Laws , againſt their new Inchr_achments , a ſubverting of them . I ",NG,lex,object,poss,G3,M,26
292502,PW3,1674,prose,"the Case of Christ's Disciples , who had no particular Rule in the old Testament Writings , for the ",abolishing," of some part of the old Testament Religion ; on the contrary , they might have pleaded for the Perp",NG,lex,for,the,G3,M,30
509122,PW3,1672,prose,"mniating him , be a Good reaſon for him to refuſe us his name , _ whilſt he takes his whole fill in ",abuſing," of us , and that by name too : thereby condemning that in others , by way of anticipation , which h",NG,lex,in,bare,G3,M,28
791993,PW3,1699,prose,"he Conſequence of what Evidence he can produce from our Writings , that have ſo much to ſhew of his ",abuſing," of them . But for his Experience , he muſt excuſe us , if we except againſt it , ſince ours has tau",NG,lex,of,poss,G3,M,55
502428,MI3,1669,prose,"elf , how to vex the soul of God , he could not do it more than by unbelief ; that is , than by not ",accepting," of Jesus Christ upon his own terms as propounded , and freely offered in the glorious Gospel of the",NG,lex,by,bare,G3,M,30
791996,PW3,1699,prose,"ining other Senſe , a Forgery as Obvious as Groſs , and moſt reprovable with Men of Truth . For his ",accepting," of G. Whitehead 's Offer , to meet him with Six , Ten or Twelve competent Witneſſes , to prove that",NG,lex,subject,poss,G3,M,55
1019184,CN3,1688,prose,"ken up his Inn in the Town , and tossing him up and down in the lodging where he lay ; His dreadful ",accosting," of a Waggoner an old acquaintance of his while he was busy in the stable , vomiting out fire agains",NG,lex,other,poss,G3,M,56
775222,PW3,1673,prose,"tures or any Ordinance of the Goſpel , that we thereby do not mean ; or theſe Words do not imply an ",Acknowledging, of the Scriptures and every Ordinance of the Goſpel ; for Inſtance : Suppoſe any Man charges J. Fal,NG,lex,object,a,G3,M,29
80492,PW3,1673,prose,ccount & for the pretended Expiation of their Sins ? Could the giving of them attone ? Is it not an ,acknowlegding, of the Pope's Power to abſolve ? Is it not a buying or bribing off the Guilt of Sin againſt Almight,NG,lex,scomp,a,G3,M,29
147441,PW3,1674,prose,"Lord has appointed them to , but to maintain the true Light againſt vain Cavils ; for God's Super - ",adding," of Scripture , no more renders the Light Inſufficient , then the Spirit , Grace , yea , God or Chri",NG,lex,for,poss,G3,M,30
869043,PW3,1683,prose,"ths : And foraſmuch as the point in hand is to diſcriminate Papiſts , and not ſuch Diſſenters ; the ",adding," of the Oaths , when the Declaration will moſt Effectually do , may ſerve to enſnare the ſaid Proteſ",NG,lex,subject,the,G3,M,39
176258,PW3,1670,prose,amounting to ſeveral Thouſands of Pounds ; which he was ſo far from embezling ( to his own uſe ) or ,admitting," of the plea of his Captains ( Diſtribute it amongst us , & if ever it be demanded , it ſhall be pai",NG,lex,other_prep,bare,G3,M,26
481108,MI3,1686,prose,"first invented by whom patronized , and by whom witnessed against , we may well conclude , that the ",admitting," of it , in such a place as New-England , will be a thing pleasing to the Devil , but highly provoki",NG,lex,subject,the,G3,M,47
792521,PW3,1687,prose,"f Trent oppoſe the Reformation at Rome ; That tho it was true that they were in the wrong , yet the ",admitting," of it approved the judgment of their Enemies , and ſo good-night to Infallibility . Let not this be",NG,lex,subject,the,G3,M,43
495224,BA3,1684,letters,"h infamy : remember that ; remember Mertilla , and then renounce him ; do not you contribute to the ",adoring," of his unfit head with a Diadem , the most glorious of Ornaments , who unadorn'd yours , with the m",NG,lex,other_prep,the,G3,F,44
80587,PW3,1673,prose,"d Spirit of Chriſt Jeſus , need no Oath ( Nay , that it is a Queſtioning of their Veracity , and an ",Affronting," of their Profeſſion to offer them one ) and if the Lying , familiar Swearing , Forſwearing , and fr",NG,lex,scomp,a,G3,M,29
100170,MI3,1706,prose,"leased . CONCLUSION , II . The Reformed Churches have many of them been faulty in this Matter . THE ",Alienating," of Lands devoted to a use Religious , or of other Deodands has been accounted a great Sin . The Gen",NG,lex,subject,the,G3,M,67
295432,PW3,1674,prose," Teſtimonies out of our Friends Books , he brought to juſtifie it ? It ſeems then that my not fully ",Anſwering, of his firſt Book is one Reaſon why he hath hitherto declin'd Publiſhing ſomething againſt my ſecon,NG,lex,subject,poss,G3,M,30
773277,PW3,1673,prose,d not to find any ſuch word as Eſſentially in our Authors . Doth he think I was to play the Fool in ,anſwering," of him , as he begs Excuſe for in Replying to me ? We affirm with the Scripture , that God tabernac",NG,lex,in,bare,G3,M,29
852590,PW3,1672,prose,"f theſe things have induced , but Sharpeneſs and Severities have met me , there has been a Faithful ",Anſwering," of Convictions , to ſome of their knowledge , who I believe , to be better Men then to refuſe me a ",NG,lex,scomp,a,G3,M,28
669856,PW3,1696,prose,"nother . Nay , not only ſo , but the Apoſtle makes a Mans being a Child of God , to depend upon his ",Anſwering," of this Light in a palpable and common Caſe , viz. not hating of his Brother : And that yet any ſho",NG,lex,temp,poss,G3,M,52
147434,PW3,1674,prose,", &c. Nay , not only ſo , but make the very beſt of man's being a Child of God , to depend upon his ",anſwering," of the Light in a palpable moral Caſe , viz. not hating of his Brother ; And yet that our Adverſari",NG,lex,temp,poss,G3,M,30
669947,PW3,1696,prose,"w Covenant fulfilled , the Church and Worſhip of Chriſt , the Great Anointed of God , and the Great ",Anointing," of God , in his Holy , High Prieſthood and Offices in his Church ! CHAP. IX . Sect. 1 . A Confeſſio",NG,lex,other,the,G3,M,52
292584,PW3,1674,prose," a sealed Book . D. Ames , a great Father of the Independents , saith upon Bellarmin 's word_ ; The ",Anointing," of the Holy Spirit doth teach the Faithful , to understand those things which they received of the ",NG,lex,subject,the,G3,M,30
670016,PW3,1696,prose,"iledge of Inward and Spiritual Teachings . And moſt certainly , as Men Grow in Grace , and know the ",Anointing," of the Word in themſelves , the Diſpenſation will be leſs in Words ( though in Words ) and more in ",NG,lex,object,the,G3,M,52
773563,PW3,1673,prose,"ctrines which they had already received of the Apoſtles , We require no more , ſayes Dr. Ames ; the ",Anointing, of the Holy Spirit doth teach the Faithful to underſtand thoſe things which they received of the Ap,NG,lex,subject,the,G3,M,29
774270,PW3,1673,prose,"hriſt ſets the VViſdom of the Fleſh ( human Induſtry , Tongues and Arts ) in room of it , it is the ",Anointing," of Anti-chriſt ; for in all things Anti-chriſt ſeeks to imitate Chriſt , as well in the Fleſh as in",NG,lex,scomp,the,G3,M,29
178746,PW3,1695,prose," 17 . Not that that which befel the Apostles and Disciples of Jesus in that Time , was the compleat ",answering," of that Prophecy , for that was not all Flesh . Besides , the very same Apostle , in the same Sermo",NG,lex,scomp,the,G3,M,51
851300,PW3,1672,prose," deadly Poyſon theſe latter Ages have been infected with , to the Deſtruction of Godly Living , and ",Apoſtatizing," of thoſe Churches , in whom there might once have been begotten , ſome Earneſt , Living Thriſt afte",NG,lex,other_prep,bare,G3,M,28
809902,CN3,1681,prose," Quarrel happened in Holborn between the Gentlemen of the Inns of Chancery , and some Citizens , in ",appeasing," whereof , the Queens Attorney and three more were slain . The year after the Apprentices of London ",NG,lex,in,bare,G3,M,49
1019553,CN3,1688,prose,"r - witnesses of what is here related , yet I do not understand that any Justice was applied to for ",apprehending," of the supposed Witch and bringing her to punishment , but that she lived about five years after th",NG,lex,for,bare,G3,M,56
100266,MI3,1706,prose,"e Negative . So P. Martyr , Zanchy , Daneus , Rivet Voetius : And to this we adhere . For , 1 . The ",Appropriating," of Tithes to the Ministers of the Old Testament was a Forensic or Judicial Precept , as is rightly ",NG,lex,subject,the,G3,M,67
197888,PW3,1675,prose,"t , However adviſable it may be in the Judgment of ſome wiſe Men , to prevent , even by Force , the ",ariſing," of any New Opinions , where a Kingdom is univerſally of another Mind ; eſpecially if it be odious t",NG,lex,object,the,G3,M,31
178603,PW3,1695,prose,"Service of Jesus , and the Service of Jesus being by him allowed to be the Christian Religion , the ",asserting," of that Divine Light to be the Holy Rule of our Christian Conduct to perform those things , deserve",NG,lex,other,the,G3,M,51
449085,CN3,1683,prose,"dred miles distance , and so affrighted them that they have all ran to their Prayers to implore the ",averting," of Divine Wrath ; The Mountain hath a double top , that toward the North ends in a Plain , the othe",NG,lex,object,the,G3,M,51
263075,PW3,1682,letters," or less , sooner or later , in every Man's Bosom , to direct us in the pursuit of it ; and for the ",avoiding, of those Inextricable Disquisitions and Entanglements our own frail Reasons would perplex us withal,NG,lex,for,the,G3,M,38
178569,PW3,1695,prose,"ously in Point of Fact , when he Charges me ; of Revenging my self upon J. Faldo and T. Hicks , for ",baffling," of me 20 Years ago . Answer , I had no Revenge in my Eye when I writ that Key ; for 'twas writ in P",NG,lex,for,bare,G3,M,51
250431,MI3,1700,prose,"particularly Tertullian Chrysostom , and Especially Austin , ( who has largely disputed against the ",Baptising, of Ungodly men though Professed Christians ) are wont to alledge that Scripture . Matth . 7 .6. Giv,NG,lex,other_prep,the,G3,M,61
250432,MI3,1700,prose,"wont to alledge that Scripture . Matth . 7 .6. Give ye not that which is Holy to Dogs , against the ",Baptising, of such persons : which words notwithstanding they have another sense are fitly applyed here . For ,NG,lex,other_prep,the,G3,M,61
827415,CN3,1682,prose,"d and Sacraments , insomuch that I have heard it very credibly reported , that being Witness to the ",Baptizing," of a Child , he would needs have it named Beelzebub. He was likewise given to all manner of Debauch",NG,lex,other_prep,the,G3,M,50
154484,MI3,1675,prose,"may by the will of Christ be baptized or not . Mr. Cottons Answer was in these words , you_ Case of ",baptizing," of the Child , of one fearing God , and in his death giving his Child to a Church member , &c. I pr",NG,lex,of,bare,G3,M,36
154643,MI3,1675,prose,"el Homes in his defence of Infant Baptisme against Mr. Tombs , ha's these words , ( pag 193 . ) for ",baptizing," of Believers Infants , several Churches of us do hold , that we may baptize them , though neither o",NG,lex,for,bare,G3,M,36
154562,MI3,1675,prose,"y Nature , therefore they that have it may be said to be converted to it , and so the Parents , the ",baptizing," of whose Children is in Question , are not without the one of the Qualifications mentioned in the C",NG,lex,subject,the,G3,M,36
154574,MI3,1675,prose,"tradict the fore-mentioned Catechisme at all , nor is there any thing in the Catechisme against the ",baptizing," of these Children . This which ha's been expressed , may be sufficient for the vindication of that ",NG,lex,other_prep,the,G3,M,36
154646,MI3,1675,prose,"rsal v sinle Church , &c. And again , ( pag 217 . ) Mr. Tombs having made this Objection , that the ",baptizing, of Infants ha's occasioned on u_ne_essary dispute about baptizing the Infants of believing Parents ,NG,lex,subject,the,G3,M,36
154649,MI3,1675,prose,") perceived the world troubled with this dispute , divers Churches without dispute can practice the ",baptizing," of such , &c. Thus he . See also in the same Book , 207 , 208 , 215 . with his Epistle to the Reade",NG,lex,object,the,G3,M,36
176021,MI3,1680,prose,"tious @ . Likewise , I know that Tertullian , & some others of the Ancients , perswade to delay the ",baptizing," of children , ( and he doth urge the like procrastination with respect to the Baptism of Adult Chri",NG,lex,object,the,G3,M,41
114103,CN3,1686,prose,"il'd , having first acquainted the great Irdonozur with my Intentions , and perceiving by the often ",baying," of my Birds a great longing in them to be gone , I trim'd up my Engine , and took my leave of Pylon",NG,lex,by,the,G3,M,54
113875,CN3,1686,prose," . I puzled my Wits extreamly with this thought , and upon Trial found that if many were put to the ",bearing," of one great Burthen , by reason it was impossible all of them should rise together just at one ins",NG,lex,other_prep,the,G3,M,54
497018,MI3,1714,letters,", what shall be Pleasing to God . At another time she writes thus : I went thro' many Deaths in the ",Bearing, of Children : But those Deaths have proved the Spiritual Life of some Souls . God has Blessed my El,NG,lex,in,the,G3,M,75
508727,PW3,1672,prose,"towards him , and all men , with renewed Refreſhment and Conſolation , which he by all his poring , ",beating," of his Brains , and daily ſtriving can never obtain ; But the Scriptures are herein fulfilled , the",NG,lex,by,quant,G3,M,28
775058,PW3,1673,prose,"ten you . Secondly , That his Life hath reached through his Children to the Iſles afar off , to the ",begetting, of many again unto a lively Hope . But what of all this ? The life of God is one in all ; Paul live,NG,lex,other_prep,the,G3,M,29
15905,PW3,1685,prose,"advanc'd againſt the Athieſts , is Celebrated by the Schools . And tho' the Apoſtles Teſtimony is a ",begging," of the queſtion to an Athieſt , 'tis doubtleſs Orthodox with this Perſon ; and he tells us , That t",NG,lex,scomp,a,G3,M,41
548142,PW3,1685,prose,"s is a confidence not wanting in any of them , or her Diſſenters ; and the truth is , it is but the ",begging," of a Queſtion , that will by no means be granted . No body ought to know more then Church-men , tha",NG,lex,scomp,the,G3,M,41
15859,PW3,1685,prose,"ible of his Injuſtice and Indecency to a Peer , that himſelf ſays , Is of the Higheſt Rate , in the ",beginning," of his Anſwer , and flies to the Penal Laws to ſupport himſelf at the latter end of it . But he wou",NG,lex,in,the,G3,M,41
214368,PW3,1674,prose,"d done ; the Time when ? namely , WITHIN THAT AGE , which was the Reign of Augustus Caesar , in the ",beginning," of which Virgil wrote , and about the End of which Christ was Born . CHAP. XVI . It is granted that",NG,lex,in,the,G3,M,30
808882,CN3,1681,prose, and hanged at Tyburn ; Sir Nicholas Brember was Beheaded with an Axe which he had prepared for the ,beheading," of others , after this divers Lords and Knights , and among the rest the Steward of the Kings House",NG,lex,for,the,G3,M,49
214535,PW3,1674,prose,"hereof , was their Stumbling at him without a Confession , unto whom they co_ld never come into the ",Beholding," or Experiencing of his Divine Life in them . To conclude , That Body was the Divine Lifes , a Body ",NG,lex,other_prep,the,G3,M,30
1018754,CN3,1688,prose,no such observation was made we have no reason to believe it . But though some will acknowledge the ,being," of Spirits , and that the bodies of men and women are actually possessed by them , yet they will no",NG,light,object,the,G3,M,56
1018745,CN3,1688,prose," of this Age , like some of the Antient Heathens , have thought it a great piece of wit to deny the ",Being," of Spirits , and that all stories concerning them are either fabulous or to be ascribed to Natural ",NG,light,object,the,G3,M,56
852631,PW3,1672,prose,"on , if they were ſeparable , Works being compared to the Spirit , would have the better . The very ",Believing," of any is an Act of the Mind , and therefore a Work to God ; and no ſooner is that Faith begotten ,",NG,lex,subject,the,G3,M,28
292667,PW3,1674,prose,"rom lessening the Scriptures of Truth , that unless this be man's Rule and Judge in the reading and ",believing," of them , he can never , either understand them , or keep the things therein contain'd aright . And",NG,lex,in,bare,G3,M,30
292569,PW3,1674,prose,"ciences , there repeated and declared . I_ is the T_stimony of the Spirit that is the true Rule for ",believing," and understanding of any or all the Scripture ; therefore not the Scripture , but the Spirit of Tru",NG,lex,for,bare,G3,M,30
1037865,CN3,1683,prose,"es that were nigh the Temple , and into the Store-houses , whereas against times of Necessity , and ",besieging," of the Town , were laid up in store , Corn , Wine , and Oyl , to the number of a thousand and four ",NG,lex,of,bare,G3,M,51
448273,CN3,1683,prose,"r of One Thousand , Four Hundred , all filled full of Victuals against a time of necessity , or the ",besieging," of the Town ; For when Vespasian was in Galile , the Priests and Elders made up the Doors of these ",NG,lex,other_prep,the,G3,M,51
828262,CN3,1682,prose,"to the exceeding great Foolishness , that we in Temporal Affairs are subject to none , and that the ",bestowing," of Benefices belongs to us as our Royal Right , and _f there be any that think otherwise , we judge",NG,lex,subject,the,G3,M,50
653167,PW3,1668,prose,"for any to yeeld obedience is nothing leſs than High-Treaſon againſt the King of Conſcience , and a ",betraying, of themſelves into the Schoolboys ſtate again .—Sometimes he ſayes the Scriptures are clear in this,NG,lex,scomp,a,G3,M,24
145938,PW3,1671,prose,"sh spirit set themselves over the holy Brethren , by feignedness and deceitful appearances , to the ",betraying," of the Simple-hearted , and ketching the Innocent in their Snares . Yet was he ready to reach out a",NG,lex,other_prep,the,G3,M,27
449028,CN3,1683,prose,"and having his Legs bare , a Fox pursued him even amidst the Earls Servants , and would not forbear ",biting," of his Legs and heels for extream hunger , till they gave him a blow on the neck , and so took him ",NG,lex,object,bare,G3,M,51
204532,PW3,1683,letters,"nearest of Kin fling in something precious with them , as a token of their Love : Their Mourning is ",blacking," of their faces , which they continue for a year : They are choice of the Graves of their Dead ; for",NG,lex,scomp,bare,G3,M,39
857522,PW3,1683,letters,"neareſt of Kin ſling in ſomething precious with them , as a token of their Love : Their Mourning is ",blacking," of their faces , which they continue for a year : They are choice of the Graves of their Dead ; for",NG,lex,scomp,bare,G3,M,39
214497,PW3,1674,prose,"in his Blood , and that Blood , alluding to the Custom or the Jewish Sacrifices , shall be an utter ",Blotting," out of former iniquates , carrying them as into a Land of Forgetfulness . This grand Assurance of R",NG,lex,scomp,a,G3,M,30
852133,PW3,1672,prose,"e of the Holy Spirit ſtricktly as ſuch , can never move one Jot to Juſtification , that is , to the ",Blotting," out of former Iniquities ; for if Men could do more a thouſandfold then they do , and that it were ",NG,lex,other_prep,the,G3,M,28
502069,MI3,1669,prose,"nt . Again , see what the Scripture saith , Acts 3.19 . Repent ye therefore and be converted to the ",blotting," out of your sins , that so the times of refreshing may come from the presence of the Lord : We have",NG,lex,other_prep,the,G3,M,30
449075,CN3,1683,prose," with everlasting gushings forth and streamings of smoak and flames , which seem to be imployed for ",boyling," of Sulphur , Bitumen , and other Minerals in preparation for deadly ruins and slaughters afterward ",NG,lex,for,bare,G3,M,51
154616,MI3,1675,prose," of a Covenant broken , then children as soon as they exist are capable of actually Confederating , ",breaking," of a Covenant supposes the being of a Covena_t that cannot be broken , that never had a being . Ab_",NG,lex,subject,bare,G3,M,36
449504,CN3,1683,prose,"hes much indamaged , and multitudes of Chimneys beaten down , so that the dammages thereby with the ",breaking," of Windows and Tiles was valued to be above Two Hundred Thousand Crowns , and the harm in the Viney",NG,lex,other_prep,the,G3,M,51
811535,PW3,1677,prose,"the hope of glory . For this I have to tell you in the Viſion of the Almighty , that the Day of the ",breaking," up of the Nations about you , and of the ſounding of the Goſpel-Trumpet unto the Inhabitants of the",NG,lex,of,the,G3,M,33
448959,CN3,1683,prose,"defaced or burnt to Ashes ; So that all men betook themselves to Arms : No tilling of the Land , no ",breeding," of Cattel , no place secure but the Camp , no Plow to follow but the War , for he that was not an A",NG,lex,other,no,G3,M,51
774494,PW3,1673,prose,"iſm among the divers Waſhings pag . 50. The Apoſtle ( Hebr. 9 . ) accounts Legal , and abrogated by ",bringing," in of a better Covenant , the great Evangelical Ordinance . Next , let him tell me , where it is th",NG,lex,by,bare,G3,M,29
773940,PW3,1673,prose,"ction and Corruption , and every Branch rotten and deceitful , and no good Fruit is found ; for the ",bringing," forth of all is from the Heart that is deceitful and corrupted , which lies faln and degenerated fr",NG,lex,for,the,G3,M,29
774326,PW3,1673,prose,"ſpel ; which worthy Chriſtopher Goad ( Right Spirit of Chriſt , pag . 17 . ) calls , the forming or ",bringing," forth of Chriſt in us . What is all our Adverſary hath ſaid , but to make Remedies againſt , or Con",NG,lex,scomp,the,G3,M,29
774983,PW3,1673,prose,eſs God DWELL IN US . C. Goad defends our Faith in theſe words ; The Goſpel is nothing elſe but the ,bringing," forth of Chriſt IN us : It calls us from Conformity to the World , and from walking as Men unto the",NG,lex,other,the,G3,M,29
292558,PW3,1674,prose," of the Devil's , to pretend Honour to the Letter , that he might the more unsuspectedly oppose the ",bringing, in of the Dispensation of the Spirit ; which the Letter it self testifies to . They that come to be,NG,lex,object,the,G3,M,30
211597,PW3,1677,prose,"th - mony collected alſo as the other , but never known till of late ; to this may be added the new ",Building," of LONDON , eſpecially in the concerns thereof ; ſo that putting theſe things together , we may won",NG,lex,subject,the,G3,M,33
808581,CN3,1681,prose,"n , and never known in England before . After Mauritius , Richard Beumore did very much advance the ",building," of this Church purchasing the large Streets and Lanes round about , which ground he incompassed wit",NG,lex,object,the,G3,M,49
